bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
5006,Kooline,-22.9119,116.2903,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8140
5007,Learmonth Airport,-22.2406,114.0967,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Bureau of Meteorology,2024/10/10 00:00:00,8141
5008,Mardie,-21.1906,115.9797,WA,"rain gauge;",data,Onslow Coast,Bureau of Meteorology,2024/10/10 00:00:00,8142
5009,Marillana,-22.6331,119.4081,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8143
5012,Millstream,-21.5906,117.0656,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8144
5013,Minderoo,-21.9969,115.0463,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8145
5014,Mount Florance,-21.7869,117.8647,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8146
5017,Onslow Airport,-21.6689,115.1092,WA,"rain gauge;",data,Onslow Coast,Bureau of Meteorology,2024/10/10 00:00:00,8147
5022,Red Hill,-21.975,116.0653,WA,"rain gauge;",data,Onslow Coast,Private owner,2024/10/10 00:00:00,8148
5028,Wyloo,-22.6906,116.2328,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8149
5029,Yalleen,-21.6767,116.3928,WA,"rain gauge;",data,Onslow Coast,Private owner,2024/10/10 00:00:00,8150
5030,Yanrey,-22.5064,114.7944,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8151
5032,Yarraloola Homestead,-21.5703,115.8786,WA,"rain gauge;",data,Onslow Coast,Private owner,2024/10/10 00:00:00,8152
5034,Mount Stuart,-22.4558,116.0508,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8153
5036,Glen Florrie Station,-22.9367,115.9825,WA,"rain gauge;",data,Ashburton River,Private owner,2024/10/10 00:00:00,8154
5045,Giralia,-22.685,114.3673,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8155
5051,Exmouth Town,-21.9303,114.126,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8156
5052,Karratha Station,-20.8831,116.6725,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8157
5061,Dampier Salt,-20.7278,116.7483,WA,"rain gauge;",data,Port Hedland Coast,Private owner,2024/10/10 00:00:00,8158
5069,Pannawonica,-21.6392,116.3308,WA,"rain gauge;",data,Onslow Coast,Private owner,2024/10/10 00:00:00,8159
5073,Hooley,-21.8836,118.2217,WA,"rain gauge;",data,Fortescue River,Private owner,2024/10/10 00:00:00,8160
5078,Urala,-21.7666,114.8211,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8161
5084,Thevenard Island,-21.4609,115.0188,WA,"rain gauge;",data,Onslow Coast,Bureau of Meteorology,2024/10/10 00:00:00,8162
