bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid,URL
541125,Seven Oaks Al,-26.7042,150.7631,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13498,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541126,Beruna Al,-26.6433,150.8542,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13499,
541127,Braziers Hill Al,-26.7261,151.1328,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13500,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541134,Durikai Alert,-28.2767,151.6022,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13507,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541135,Cons Plains Alert,-28.2297,152.4164,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13508,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541136,Gambubal Rd Alert,-28.2758,152.3447,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13509,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541137,Harrisons Road Alert,-28.2583,152.0925,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13510,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541139,Queen Mary Falls Alert,-28.3342,152.3933,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13512,
541140,Spicers Peak Alert,-28.1133,152.3722,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13513,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541141,Oakey (Oakey-Cooyar Rd) Tm,-27.3969,151.7188,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13514,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541142,Karara Alert,-28.1342,151.5697,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13515,
541143,Strathyre Rd Alert,-28.1239,151.4742,qld,rain gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13516,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541144,The Head Alert,-28.2833,152.4175,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Southern Downs Regional Council,2024/10/10 00:00:00,13517,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541145,Oakey (Pechey-Maclagan Rd) Tm,-27.289,151.8051,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13518,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541146,Oakey (Weir Park) Tm,-27.4297,151.7185,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13519,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541147,Oakey (Kingsthorpe Haden Rd) Tm,-27.401,151.8326,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13520,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541148,Oakey (Boodua Muniganeen Rd) Tm,-27.3734,151.8594,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13521,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541149,Mt Bowman Tm,-29.0772,151.4808,qld,rain gauge;,data,Border Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13522,
541150,Wellcamp Airport,-27.5517,151.7845,qld,rain gauge;,data,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,13523,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541152,Rangemore Alert,-26.98,151.682,qld,rain gauge;,data,Brisbane River,South East Queensland Water,2024/10/10 00:00:00,13524,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60336.html
541153,Kulpi Alert,-27.1897,151.6994,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13525,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541154,Warra Alert,-26.9283,150.9181,qld,rain gauge;water level gauge;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13526,
541155,Loudoun Bridge Alert,-27.225,151.1856,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13527,
541156,Brigalow Bridge Alert,-26.9044,150.7831,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13528,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541158,Centenary Bridge Tm,-27.8086,151.3632,qld,rain gauge;water level gauge;,information,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13529,
541160,Dalmeny Tm,-27.4397,151.6583,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13530,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541167,Quinalow Peranga Rd Tm,-27.106,151.624,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Toowoomba Regional Council,2024/10/10 00:00:00,13531,
541196,Blaxland Al,-27.1892,151.3378,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13533,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
541197,Ranges Bridge Al,-27.1215,151.0919,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13534,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542004,Gunn Bridge (Dnrm) Tm,-28.1575,150.1008,qld,rain gauge;water level gauge;model point;,information,Border Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13535,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
542005,Jericho Tm,-28.6456,149.3514,qld,rain gauge;water level gauge;model point;,information,Border Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13536,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
542006,Flinton Tm,-27.8944,149.5267,qld,rain gauge;water level gauge;model point;,data,Moonie River,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13537,
542007,Mascot Tm,-28.8239,149.1083,qld,rain gauge;water level gauge;model point;,information,Border Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13538,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
542008,Bedarra Tm,-26.8417,150.3442,qld,rain gauge;water level gauge;model point;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13539,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542010,Durah Homestead Al,-26.2839,150.9664,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13541,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542011,Upper Durah Creek Al,-26.1708,150.9122,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13542,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542012,Canaan Creek Al,-26.3956,150.6767,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13543,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542013,Upper Stockyard Creek Al,-26.2514,150.7272,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13544,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542014,Turkey Mountain Al,-26.3456,150.87,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13545,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542015,Arthurs Lookout Alert,-25.7694,150.7697,qld,rain gauge;,data,Burnett River,North Burnett Regional Council,2024/10/10 00:00:00,13546,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60338.html
542016,Myall Park Road Alert,-26.5667,150.2353,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13547,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542017,Pinelands Alert,-26.4342,150.0756,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13548,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542018,Upper Dogwood Creek Alert,-26.2033,150.2567,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13549,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542019,Condamine Alert,-26.9267,150.1314,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13550,
542020,Bedarra Alert,-26.8417,150.3442,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13551,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542021,Stillers Road Alert,-26.3642,150.2161,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13552,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542022,Barakula Forest Station Alert,-26.4272,150.5044,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13553,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542023,Miles Alert,-26.6581,150.1808,qld,rain gauge;water level gauge;,information,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13554,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542024,Glenaubyn Alert,-26.5083,149.9483,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13555,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542025,Boortkoi Alert,-26.5264,150.3953,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13556,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542026,Clovelly Alert,-26.4764,150.0764,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13557,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542027,Bottle Tree Alert,-26.8,150.4322,qld,rain gauge;,data,Condamine-Culgoa Rivers,Western Downs Regional Council,2024/10/10 00:00:00,13558,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
542035,Mt Driven Tm,-27.9811,149.0973,qld,rain gauge;water level gauge;,data,Moonie River,Balonne Shire Council,2024/10/10 00:00:00,13559,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60342.html
543007,Forest Vale Tm,-25.9333,147.8667,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,Bureau of Meteorology,2024/10/10 00:00:00,13562,
543008,Yuleba Forestry Tm,-26.85,149.4667,qld,rain gauge;water level gauge;model point;,information,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13563,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
543009,Doboy Tm,-25.6772,148.5272,qld,rain gauge;,data,Fitzroy River (Qld),"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13564,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60339.html
543010,Roma Tm,-26.5711,148.795,qld,rain gauge;water level gauge;model point;,official,Condamine-Culgoa Rivers,Maranoa Regional Council,2024/10/10 00:00:00,13565,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
543011,Homebush Station Tm,-26.393,147.9415,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Maranoa Regional Council,2024/10/10 00:00:00,13566,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
543012,Hunterton Tm,-26.2505,148.5014,qld,rain gauge;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13567,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
543013,Kingull Tm,-26.4094,148.6549,qld,rain gauge;,data,Condamine-Culgoa Rivers,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13568,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
543015,Upper Amby Ck Tm,-26.4074,148.2638,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Maranoa Regional Council,2024/10/10 00:00:00,13569,
543016,Warroo Tm,-27.645,148.7411,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,SunWater,2024/10/10 00:00:00,13571,
543024,Begonia Tm,-27.4937,148.3356,qld,rain gauge;water level gauge;,data,Condamine-Culgoa Rivers,Maranoa Regional Council,2024/10/10 00:00:00,13572,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60343.html
544011,Augathella Tm,-25.7944,146.5847,qld,rain gauge;water level gauge;model point;,official,Warrego River,"Department of Regional Development, Manufacturing and Water",2024/10/10 00:00:00,13573,http://www.bom.gov.au/cgi-bin/wrap_fwo.pl?IDQ60344.html
