OBJECTID,LOCATION_NAME,LOCATION_ID,DATA_AVAILABLE_BETWEEN,LATITUDE,LONGITUDE,DEPTH,README,DOWNLOAD_METADATA,LIVE_WAVE,DOWNLOAD_DATA,LICENCE,PRODUCTION_DATE,STATUS,LIVEGIF_DIRPRD,LIVEGIF_DIR,LIVEGIF_HS
37,Rockey Point,ROC13,14/03/1979 and 01/05/1981,-33.549431  (GDA2020),115.059455  (GDA2020),7m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ROC13_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
38,Jurien Bay 02,JUR40,27/10/1997 and 31/12/2023,-30.292687  (GDA2020),114.912827 (GDA2020),42m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/JUR40_Metadata.zip,http://www.transport.wa.gov.au/imarine/jurien-bay-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/JUR40_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWJ_POLD.GIF,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWJ_WDIR.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWJ_Wave.gif
39,Denison 01,DEN02,29/07/1974 and 28/10/1975,-29.261931  (GDA2020),114.847233  (GDA2020),20m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/DEN02_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
40,Esperance 04,ESP51,18/06/2006 and 31/12/2023,-33.999786  (GDA2020),121.900693 (GDA2020),52m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ESP51_Metadata.zip,http://www.transport.wa.gov.au/imarine/esperance-tide-and-wave.asp,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/ESP51_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Current,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWE_POLD.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWE_WDIR.gif,https://www.transport.wa.gov.au/imarine/coastaldata/tidesandwaves/live_gfx/DWE_Wave.gif
41,Jurien Bay 01,JUR14,18/03/1981 and 23/09/1982,-30.292209  (GDA2020),115.033622  (GDA2020),11.5m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/JUR14_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
42,Albany 01,ALB15,24/06/1981 and 12/09/1983,-35.031376  (GDA2020),117.941955  (GDA2020),13m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ALB15_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
43,Fremantle,FRE01,"05/06/1974 and 24/02/1975",-32.062209  (GDA2020),115.724455  (GDA2020),7m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/FRE01_Metadata.zip,,,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
44,Dawesville 03,DAW24,17/04/1985 and 23/04/1987,-32.100543  (GDA2020),115.626678  (GDA2020),10m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/DAW24_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/DAW24_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
45,Geraldton 03,GER18,29/12/1983 and 19/01/1985,-28.758876  (GDA2020),114.535567  (GDA2020),27m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/GER18_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/GER18_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
46,Albany 02,ALB44,26/07/2001 and 21/03/2002,-35.031654  (GDA2020),117.941678  (GDA2020),13m,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WAVE_READ_ME.htm,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/DeploymentMetadata/ALB44_Metadata.zip,,https://s3-ap-southeast-2.amazonaws.com/transport.wa/WAVERIDER_DEPLOYMENTS/WaveRider_Yearly_Processed/ALB44_YEARLY_PROCESSED.zip,http://creativecommons.org/licenses/by/4.0/,Dataset Produced on 10/12/2024 13:52,#Historic,,,
